"","model","weight","sugar","acid","color"
"1","酒坷府",286,12.9,0.31,"全祸"
"2","全苛",256,13.4,0.69,"利祸"
"3","酒坷府",251,12.1,0.32,"全祸"
"4","固矫付",396,16.3,0.39,"全祸"
"5","酒坷府",282,15,0.29,"全祸"
"6","全肺",342,13.4,0.31,"全祸"
"7","肺锯饶瘤",407,13.6,0.4,"利祸"
"8","酒坷府",238,13.5,0.31,"全祸"
"9","全肺",295,15.1,0.29,"全祸"
"10","肺锯饶瘤",392,15.6,0.38,"利祸"
"11","酒坷府",298,13.3,0.32,"全祸"
"12","全肺",352,14.4,0.28,"全祸"
"13","固矫付",409,14.2,0.39,"全祸"
"14","全肺",152,13.5,0.32,"全祸"
"15","全肺",329,13.8,0.31,"全祸"
"16","肺锯饶瘤",394,13,0.38,"利祸"
"17","固矫付",408,14.1,0.39,"全祸"
"18","全苛",224,12.1,0.73,"利祸"
"19","全苛",211,13.4,0.64,"利祸"
"20","全苛",235,14.2,0.65,"利祸"
"21","全苛",239,12.3,0.72,"利祸"
"22","固矫付",380,16.7,0.38,"全祸"
"23","肺锯饶瘤",381,14.2,0.4,"利祸"
"24","固矫付",391,16.8,0.41,"全祸"
"25","肺锯饶瘤",384,13.3,0.41,"利祸"
